リスト名,担当名,パスアポ,会社名,HP,HPリンク,説明,説明リンク,電話番号,代表者,リストランク,アポ獲得,アプローチ内容,見込み,アプローチ備考,次回アプローチ日,地域,業種,従業員数,リストアップ担当者,条件NG,リストアップ更新日,調査,行動履歴チェック,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社　竹内組,takeuchi-gumi.co.jp,takeuchi-gumi.co.jp,,"【あいち健康ネット】
https://www.kenko-keiei.pref.aichi.jp/company/detail/753",,,,,追客,C,かけなおし、怖い,,愛知県岡崎市,建設,18,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,千葉県道路公社,https://www.chiba-dourokousha.or.jp/,https://www.chiba-dourokousha.or.jp/,,https://www.kyoukaikenpo.or.jp/file/20221124jireisyuu03.pdf,,,,,追客,B,かけなおし,,千葉県千葉市,運輸／陸運／鉄道,34,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社市川保険サービス,https://www.ichikawahoken.co.jp/,https://www.ichikawahoken.co.jp/,,https://www.ichikawahoken.co.jp/news/info/139/,,,,,追客,C,2025/11/6不在,,静岡県浜松市,,12,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,長泉パーカライジング株式会社,http://www.npk-japan.com/,http://www.npk-japan.com/,,https://www.voice-report.jp/report/2020_106/,,大貫隆弘,,,受付NG,C,"1/15 取材×
1/9取材×　押したら行ける？",,静岡県駿東郡,生産用／業務用機械器具,51,,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,恵武急便有限会社,https://www.k-bu.com/,https://www.k-bu.com/,,https://weekly-net.co.jp/company/177479/,,,,,追客,C,1/9 不在,,岐阜県恵那市,,20,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,高尾珈琲株式会社,https://takaocoffee.co.jp/,https://takaocoffee.co.jp/,,https://www.voice-report.jp/report/2024_3120001024297/,06-6771-2265,高尾武彦,,,受付NG,B,"1/28 何度も電話着て断っている
1/26 予定不明
1/19 必要で改め
1/16 予定不明だが確認してくれる若い女性
取材→必要に応じて改め15時までに 1/9不在",,大阪府大阪市,,20,,FALSE,,,5,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社西田製作所,https://www.nishida-factory.co.jp/,https://www.nishida-factory.co.jp/,,https://www.voice-report.jp/report/2023_17/,075-925-1150,たみ,,,受付NG,,"3/3 受付NG
1/15 資料送付拒否
取材→必要に応じて改め　11/6 .1/9不在",,京都府京都市,,37,,FALSE,,,3,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社Re:lation,https://www.re-lation.jp/,https://www.re-lation.jp/,,https://www.voice-report.jp/report/2022_1000th_53/,,,,,追客,C,自動音声3 　okだったら電話来る,,静岡県浜松市,建設,48,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,橋爪,仲山,八日市場瓦斯株式会社,https://1363.jp/company/,https://1363.jp/company/,,https://1363.jp/health_management/,0479-72-1363​,うざわ,A,,追客,B,"４・２出張
１７：００
３・３１
3/11 予定不明
9/29.11/6不在　　帰るの",2026/04/09,千葉県匝瑳市,建設,27,,TRUE,,,5,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,日本精機株式会社,enginevalve.co.jp,enginevalve.co.jp,,https://www.pref.osaka.lg.jp/documents/3493/r1startbook.pdf,,,,,受付NG,,,,大阪府大阪市生野区,自動車、輸送用機械器具、輸送用機器,48,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
